주소,충전소명,시설구분,기종,급속충전량,충전기타입,충전기ID
서울특별시 송파구 가락동 동남로 193,가락쌍용1차 아파트,아파트,급속,,DC차데모+AC3상+DC콤보,1
서울특별시 송파구 가락동 동남로 193,가락쌍용1차 아파트,아파트,급속,,DC차데모+AC3상+DC콤보,2
서울특별시 송파구 가락동 동남로 193,가락쌍용1차 아파트,아파트,완속,,AC완속,3
서울특별시 송파구 가락동 동남로 193,가락쌍용1차 아파트,아파트,완속,,AC완속,4
서울특별시 송파구 가락동 동남로 193,가락쌍용1차 아파트,아파트,완속,,AC완속,5
서울특별시 송파구 가락동 동남로 193,가락쌍용1차 아파트,아파트,완속,,AC완속,6
서울특별시 송파구 가락동 송파대로28길 27,송파성원상떼빌,아파트,급속,,DC차데모+AC3상+DC콤보,1
서울특별시 송파구 가락동 송파대로28길 27,송파성원상떼빌,아파트,완속,,AC완속,2
서울특별시 송파구 가락동 송파대로28길 27,송파성원상떼빌,아파트,완속,,AC완속,3
서울특별시 송파구 가락동 중대로12길 35,가락우성2차 아파트,아파트,완속,,AC완속,1
서울특별시 송파구 가락로 192,서울송파 한양2차아파트,아파트,완속,,AC완속,1
서울특별시 송파구 가락로 192,서울송파 한양2차아파트,아파트,완속,,AC완속,2
서울특별시 송파구 가락로 192,서울송파 한양2차아파트,아파트,완속,,AC완속,3
서울특별시 송파구 가락로 267,서울 송파구 가락로 267 (저압수용가),기타,완속,,AC완속,1
서울특별시 송파구 가락로 267,서울 송파구 가락로 267 (저압수용가),기타,완속,,AC완속,2
서울특별시 송파구 가락로21길 4-21,서울 송파구 가락로21길 4-21 (저압수용가),기타,완속,,AC완속,1
서울특별시 송파구 가락로21길 4-21,서울 송파구 가락로21길 4-21 (저압수용가),기타,완속,,AC완속,2
서울특별시 송파구 거마로2길 19(거여동),거여2동 주민센터,주민센터,급속,,DC차데모+AC3상+DC콤보,1
서울특별시 송파구 거여동 28,쌍용스윗닷홈 거여1차 아파트,아파트,완속,,AC완속,1
서울특별시 송파구 거여동 28,쌍용스윗닷홈 거여1차 아파트,아파트,완속,,AC완속,2
서울특별시 송파구 거여동 양산로4길 16 ,거여5단지 아파트,아파트,급속,,DC차데모+AC3상+DC콤보,1
서울특별시 송파구 거여동 양산로4길 16 ,거여5단지 아파트,아파트,완속,,AC완속,2
서울특별시 송파구 거여동 양산로4길 16 ,거여5단지 아파트,아파트,완속,,AC완속,3
서울특별시 송파구 거여동 양산로4길 16 ,거여5단지 아파트,아파트,완속,,AC완속,4
서울특별시 송파구 거여동 양산로4길 8 ,거여4단지 아파트,아파트,완속,,AC완속,2
서울특별시 송파구 거여동 양산로4길 8 ,거여4단지 아파트,아파트,완속,,AC완속,3
서울특별시 송파구 거여동 양산로4길 8 ,거여4단지 아파트,아파트,완속,,AC완속,4
서울특별시 송파구 거여동 양산로8길 8 ,거여1단지 아파트,아파트,급속,,DC차데모+AC3상+DC콤보,1
서울특별시 송파구 거여동 양산로8길 8 ,거여1단지 아파트,아파트,완속,,AC완속,2
서울특별시 송파구 거여동 양산로8길 8 ,거여1단지 아파트,아파트,완속,,AC완속,3
서울특별시 송파구 거여동 양산로8길 8 ,거여1단지 아파트,아파트,완속,,AC완속,4
서울특별시 송파구 거여동 양산로8길 8 ,거여1단지 아파트,아파트,완속,,AC완속,5
서울특별시 송파구 도곡로 450,잠실앙시레이크타워,아파트,완속,,AC완속,1
서울특별시 송파구 동남로 116,서울시 송파구 문정1동주민센터,주민센터,완속,,AC완속,1
서울특별시 송파구 동남로 153,우리주유소,주유소,급속,,DC콤보,1
서울특별시 송파구 동남로 153,우리주유소,주유소,급속,,DC콤보,2
서울특별시 송파구 동남로 189,쌍용프라자,기타,완속,,AC완속,1
서울특별시 송파구 동남로 189,쌍용프라자,기타,완속,,AC완속,2
서울특별시 송파구 동남로 189,쌍용프라자,기타,완속,,AC완속,3
서울특별시 송파구 동남로 189,쌍용프라자,기타,완속,,AC완속,4
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,1
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,2
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,3
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,4
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,5
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,6
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,7
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,8
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,9
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,10
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,11
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,12
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,13
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,14
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,15
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,16
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,17
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,18
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,19
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,20
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,21
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,22
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,23
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,24
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,25
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,26
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,27
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,28
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,29
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,30
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,31
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,32
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,33
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,34
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,35
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,36
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,37
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,38
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,39
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,40
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,41
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,42
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,43
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,44
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,45
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,46
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,47
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,48
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,49
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,50
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,51
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,52
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,53
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,54
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,55
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,56
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,57
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,58
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,59
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,60
서울특별시 송파구 동남로 193,가락쌍용1차아파트,아파트,완속,,AC완속,61
서울특별시 송파구 동남로 225,래미안파크팰리스-106동,아파트,완속,,AC완속,3
서울특별시 송파구 동남로 225,래미안파크팰리스-109동,아파트,완속,,AC완속,1
서울특별시 송파구 동남로 225,래미안파크팰리스-109동,아파트,급속,,DC차데모+AC3상+DC콤보,1
서울특별시 송파구 동남로 240-6,서울시 송파구 테라펠리체송파아파트,아파트,완속,,AC완속,1
서울특별시 송파구 동남로 240-6,서울시 송파구 테라펠리체송파아파트,아파트,완속,,AC완속,2
서울특별시 송파구 동남로 263,송파도서관,지자체시설,급속,,DC콤보,1
서울특별시 송파구 동남로 341,송파레미니스2단지(2022),아파트,완속,,AC완속,1
서울특별시 송파구 동남로 341,송파레미니스2단지(2022),아파트,완속,,AC완속,2
서울특별시 송파구 동남로 341,송파레미니스2단지(2022),아파트,완속,,AC완속,3
서울특별시 송파구 동남로 341,송파레미니스2단지(2022),아파트,완속,,AC완속,4
서울특별시 송파구 동남로 341,송파레미니스2단지(2022),아파트,완속,,AC완속,5
서울특별시 송파구 동남로 341,송파레미니스2단지(2022),아파트,완속,,AC완속,6
서울특별시 송파구 동남로 341,송파레미니스2단지(2022),아파트,완속,,AC완속,7
서울특별시 송파구 동남로 341,송파레미니스2단지(2022),아파트,완속,,AC완속,8
서울특별시 송파구 동남로 341,송파레미니스2단지(2022),아파트,완속,,AC완속,9
서울특별시 송파구 동남로 341,송파레미니스2단지(2022),아파트,완속,,AC완속,10
